7.25E+00	0.00E+00	1.18E+01	1.60E+01	1.18E+01	6.50E+00
2.93E+01	3.25E+00	2.50E+01	1.60E+01	2.45E+01	2.33E+01
3.23E+01	2.28E+01	1.50E+01	1.60E+01	1.50E+01	3.98E+01
3.88E+01	2.93E+01	2.50E+01	1.60E+01	2.50E+01	3.38E+01
3.25E+01	2.93E+01	3.03E+01	1.60E+01	3.03E+01	3.18E+01
5.25E+01	3.60E+01	5.00E+01	2.03E+01	4.55E+01	3.83E+01
5.25E+01	3.05E+01	5.40E+01	3.58E+01	4.83E+01	6.15E+01
5.10E+01	7.50E+01	4.00E+01	4.90E+01	4.00E+01	5.68E+01
5.28E+01	7.50E+01	3.85E+01	4.75E+01	3.85E+01	4.33E+01
6.48E+01	8.28E+01	8.83E+01	5.00E+01	8.25E+01	4.33E+01
1.00E+02	1.00E+02	8.05E+01	8.15E+01	7.63E+01	6.73E+01
1.00E+02	1.00E+02	9.95E+01	9.90E+01	9.08E+01	6.33E+01
1.00E+02	1.00E+02	9.95E+01	9.78E+01	9.00E+01	7.78E+01
1.00E+02	1.00E+02	1.00E+02	9.90E+01	9.55E+01	8.25E+01
1.00E+02	1.00E+02	1.00E+02	9.53E+01	1.00E+02	7.48E+01
1.00E+02	1.00E+02	1.00E+02	1.00E+02	1.00E+02	9.83E+01
					
0.05	0.1	0.2	0.3	0.4	0.5
