1.28 	3.7525E-07	-1.6351E-08
1.29 	3.9160E-07	-8.7032E-09
1.30 	4.0031E-07	-9.1948E-09
1.31 	4.0950E-07	-2.3332E-08
1.32 	4.3283E-07	-1.3632E-08
1.33 	4.4647E-07	-1.3839E-08
1.34 	4.6030E-07	-2.9150E-09
1.35 	4.6322E-07	-2.2082E-08
1.36 	4.8530E-07	-1.4188E-08
1.37 	4.9949E-07	-2.5943E-08
1.38 	5.2543E-07	1.0356E-09
1.39 	5.2440E-07	-1.4014E-08
1.40 	5.3841E-07	-1.5540E-08
1.41 	5.5395E-07	-5.9454E-09
1.42 	5.5990E-07	-1.6608E-08
1.43 	5.7650E-07	-1.2305E-08
1.44 	5.8881E-07	-1.2941E-08
1.45 	6.0175E-07	-6.8752E-10
1.46 	6.0244E-07	-2.5221E-08
1.47 	6.2766E-07	-1.4662E-08
1.48 	6.4232E-07	-1.8251E-08
1.49 	6.6057E-07	-2.1130E-08
1.50 	6.8170E-07	-2.4541E-08
1.51 	7.0624E-07	-8.2387E-09
1.52 	7.1448E-07	-2.1182E-08
1.53 	7.3566E-07	-2.6772E-08
1.54 	7.6244E-07	-1.0361E-08
1.55 	7.7280E-07	-2.2063E-08
1.56 	7.9486E-07	-2.1322E-08
1.57 	8.1618E-07	-1.9278E-08
1.58 	8.3546E-07	-2.1205E-08
1.59 	8.5667E-07	-1.4171E-08
1.60 	8.7084E-07	-1.7338E-08
1.61 	8.8817E-07	-2.7244E-08
1.62 	9.1542E-07	-3.0856E-08
1.63 	9.4627E-07	-2.3035E-08
1.64 	9.6931E-07	-2.5656E-08
1.65 	9.9496E-07	-2.4847E-08
1.66 	1.0198E-06	-1.3159E-08
1.67 	1.0330E-06	-2.7872E-08
1.68 	1.0608E-06	-3.0796E-08
1.69 	1.0916E-06	-6.1035E-09
1.70 	1.0977E-06	-4.3467E-08
1.71 	1.1412E-06	-2.9828E-09
1.72 	1.1442E-06	-1.8781E-08
1.73 	1.1630E-06	-6.0093E-08
1.74 	1.2231E-06	-3.4811E-08
1.75 	1.2579E-06	-2.5489E-08
1.76 	1.2834E-06	-3.2398E-08
1.77 	1.3158E-06	-1.2192E-08
1.78 	1.3280E-06	-5.8997E-08
1.79 	1.3870E-06	-4.8938E-09
1.80 	1.3919E-06	-3.3908E-08
1.81 	1.4258E-06	-4.4602E-09
1.82 	1.4302E-06	-7.5134E-08
1.83 	1.5054E-06	-3.0930E-08
1.84 	1.5363E-06	-1.4134E-08
1.85 	1.5504E-06	-4.2384E-08
1.86 	1.5928E-06	-4.9764E-08
1.87 	1.6426E-06	-2.8329E-08
1.88 	1.6709E-06	-2.9001E-08
1.89 	1.6999E-06	-2.4852E-08
1.90 	1.7247E-06	-5.7592E-08
1.91 	1.7823E-06	-9.3140E-09
1.92 	1.7917E-06	-5.0193E-08
1.93 	1.8418E-06	-4.1220E-08
1.94 	1.8831E-06	-4.4150E-08
1.95 	1.9272E-06	-2.2687E-08
1.96 	1.9499E-06	-2.4776E-08
1.97 	1.9747E-06	-2.8635E-08
1.98 	2.0033E-06	-2.8302E-08
1.99 	2.0316E-06	-5.5841E-08
2.00 	2.0875E-06	-5.5116E-08
2.01 	2.1426E-06	-7.0915E-08
2.02 	2.2135E-06	-8.6359E-09
2.03 	2.2221E-06	-4.6462E-08
2.04 	2.2686E-06	-4.2921E-08
2.05 	2.3115E-06	-4.6033E-08
2.06 	2.3575E-06	-4.6813E-08
2.07 	2.4044E-06	-5.0825E-08
2.08 	2.4552E-06	-6.5405E-08
2.09 	2.5206E-06	-1.5621E-08
2.10 	2.5362E-06	-6.0467E-08
2.11 	2.5967E-06	-6.0326E-08
2.12 	2.6570E-06	-4.8486E-08
2.13 	2.7055E-06	-1.9870E-08
2.14 	2.7254E-06	-4.9826E-08
2.15 	2.7752E-06	-6.3073E-08
2.16 	2.8383E-06	-7.4247E-08
2.17 	2.9125E-06	-1.8153E-08
2.18 	2.9307E-06	-7.1403E-08
2.19 	3.0021E-06	-5.3208E-08
2.20 	3.0553E-06	-5.1861E-08
2.21 	3.1071E-06	-4.6818E-08
2.22 	3.1539E-06	-5.9579E-08
2.23 	3.2135E-06	-5.4740E-08
2.24 	3.2683E-06	-6.2775E-08
2.25 	3.3310E-06	-5.8768E-08
2.26 	3.3898E-06	-3.5219E-08
2.27 	3.4250E-06	-5.1146E-08
2.28 	3.4762E-06	-5.1782E-08
2.29 	3.5279E-06	-2.9779E-08
2.30 	3.5577E-06	-4.4732E-08
2.31 	3.6025E-06	-7.0667E-08
2.32 	3.6731E-06	-8.7229E-08
2.33 	3.7604E-06	-6.8646E-08
2.34 	3.8290E-06	-6.8437E-08
2.35 	3.8974E-06	-9.6076E-08
2.36 	3.9935E-06	-1.0085E-07
2.37 	4.0944E-06	-6.1084E-08
2.38 	4.1554E-06	-5.5462E-08
2.39 	4.2109E-06	-6.2885E-08
2.40 	4.2738E-06	-1.0706E-07
2.41 	4.3809E-06	-5.5820E-08
2.42 	4.4367E-06	-1.1446E-07
2.43 	4.5511E-06	-7.9498E-08
2.44 	4.6306E-06	-7.1195E-08
2.45 	4.7018E-06	-7.0820E-08
2.46 	4.7726E-06	-7.0240E-08
2.47 	4.8429E-06	-5.2109E-08
2.48 	4.8950E-06	-2.0710E-07
2.49 	5.1021E-06	-8.1291E-08
2.50 	5.1834E-06	1.5361E-08
2.51 	5.1680E-06	-7.7412E-08
2.52 	5.2454E-06	-9.0363E-08
2.53 	5.3358E-06	-3.7940E-09
2.54 	5.3396E-06	-1.8424E-07
2.55 	5.5238E-06	-4.9725E-08
2.56 	5.5736E-06	-8.8989E-08
2.57 	5.6625E-06	-1.8865E-07
2.58 	5.8512E-06	-6.7561E-08
2.59 	5.9188E-06	-1.0704E-07
2.60 	6.0258E-06	-6.6698E-08
2.61 	6.0925E-06	-1.2985E-07
2.62 	6.2223E-06	-1.9030E-07
2.63 	6.4126E-06	-6.2687E-08
2.64 	6.4753E-06	-9.4399E-08
2.65 	6.5697E-06	-1.0113E-07
2.66 	6.6709E-06	-1.5815E-07
2.67 	6.8290E-06	-8.8352E-08
2.68 	6.9174E-06	-1.3730E-08
2.69 	6.9311E-06	-1.0617E-07
2.70 	7.0373E-06	-1.6820E-07
2.71 	7.2055E-06	-1.3742E-07
2.72 	7.3429E-06	-1.1150E-07
2.73 	7.4544E-06	-1.3951E-07
2.74 	7.5939E-06	-7.0031E-08
2.75 	7.6639E-06	-1.7915E-07
2.76 	7.8431E-06	-2.6105E-08
2.77 	7.8692E-06	-7.8002E-08
2.78 	7.9472E-06	-1.5864E-07
2.79 	8.1058E-06	-1.1467E-07
2.80 	8.2205E-06	-7.8093E-08
2.81 	8.2986E-06	-1.9382E-07
2.82 	8.4924E-06	-1.4898E-07
2.83 	8.6414E-06	-1.2215E-07
2.84 	8.7635E-06	-8.9247E-08
2.85 	8.8528E-06	-2.0045E-07
2.86 	9.0532E-06	-1.8506E-07
2.87 	9.2383E-06	-1.2779E-07
2.88 	9.3661E-06	-1.3659E-07
2.89 	9.5027E-06	-9.1784E-08
