-0.49998	-2.45E-10		-0.49998	-9.95E-10		-0.49998	-5.74E-09		-0.5	-2.55E-10
-0.48998	-2.26E-10		-0.48997	-9.21E-10		-0.48997	-5.57E-09		-0.48996	7.13E-10
-0.47997	-2.16E-10		-0.47997	-8.52E-10		-0.47997	-5.39E-09		-0.47997	1.25E-09
-0.46998	-2.04E-10		-0.46998	-8.21E-10		-0.46998	-4.54E-09		-0.46996	2.34E-09
-0.45994	-1.90E-10		-0.45994	-7.38E-10		-0.45994	-4.29E-09		-0.45993	2.74E-09
-0.44994	-1.78E-10		-0.44994	-6.96E-10		-0.44994	-4.03E-09		-0.44994	3.67E-09
-0.43994	-1.70E-10		-0.43993	-6.33E-10		-0.43994	-3.86E-09		-0.43993	4.45E-09
-0.42993	-1.60E-10		-0.42993	-5.68E-10		-0.42993	-3.39E-09		-0.42992	5.08E-09
-0.41993	-1.52E-10		-0.41993	-5.29E-10		-0.41993	-2.94E-09		-0.41993	5.92E-09
-0.40989	-1.42E-10		-0.40989	-4.60E-10		-0.4099	-2.75E-09		-0.40989	7.05E-09
-0.39989	-1.32E-10		-0.39989	-4.25E-10		-0.39989	-2.56E-09		-0.39989	7.48E-09
-0.3899	-1.27E-10		-0.3899	-3.90E-10		-0.3899	-2.15E-09		-0.3899	8.19E-09
-0.37992	-1.20E-10		-0.37992	-3.53E-10		-0.37992	-1.96E-09		-0.37992	8.22E-09
-0.36993	-1.11E-10		-0.36993	-2.97E-10		-0.36993	-1.66E-09		-0.36993	8.76E-09
-0.35994	-1.02E-10		-0.35994	-2.56E-10		-0.35994	-1.19E-09		-0.35994	9.50E-09
-0.34992	-9.66E-11		-0.34993	-2.18E-10		-0.34992	-9.92E-10		-0.34992	9.92E-09
-0.33993	-8.92E-11		-0.33993	-1.88E-10		-0.33994	-8.02E-10		-0.33993	1.02E-08
-0.32995	-8.53E-11		-0.32996	-1.14E-10		-0.32995	-2.46E-10		-0.32995	1.09E-08
-0.31997	-8.12E-11		-0.31997	-6.68E-11		-0.31998	-7.42E-11		-0.31997	1.14E-08
-0.30998	-7.63E-11		-0.30998	-9.81E-12		-0.30998	1.68E-10		-0.30998	1.16E-08
-0.29996	-7.31E-11		-0.29995	4.41E-11		-0.29995	5.49E-10		-0.29996	1.18E-08
-0.28997	-6.85E-11		-0.28996	9.51E-11		-0.28996	7.97E-10		-0.28997	1.26E-08
-0.27998	-6.49E-11		-0.27998	1.21E-10		-0.27998	1.07E-09		-0.27998	1.26E-08
-0.26999	-6.10E-11		-0.26999	1.77E-10		-0.26998	1.47E-09		-0.26999	1.29E-08
-0.26	-5.90E-11		-0.25999	2.15E-10		-0.25999	1.68E-09		-0.26	1.35E-08
-0.24999	-5.40E-11		-0.24998	2.62E-10		-0.24998	2.01E-09		-0.24999	1.39E-08
-0.23996	-5.15E-11		-0.23995	2.94E-10		-0.23995	2.14E-09		-0.23996	1.40E-08
-0.22996	-4.78E-11		-0.22995	3.30E-10		-0.22995	2.52E-09		-0.22996	1.43E-08
-0.21995	-4.51E-11		-0.21995	3.73E-10		-0.21995	2.95E-09		-0.21995	1.47E-08
-0.20995	-4.21E-11		-0.20995	3.66E-10		-0.20994	3.04E-09		-0.20995	1.49E-08
-0.2	-4.06E-11		-0.19999	4.00E-10		-0.2	3.46E-09		-0.2	1.51E-08
-0.19001	-3.90E-11		-0.19	4.51E-10		-0.19	3.82E-09		-0.19001	1.52E-08
-0.18001	-3.56E-11		-0.18	4.91E-10		-0.18	3.89E-09		-0.18	1.58E-08
-0.17	-3.28E-11		-0.17	5.24E-10		-0.16999	4.18E-09		-0.17	1.58E-08
-0.16001	-3.01E-11		-0.16	5.70E-10		-0.16	4.50E-09		-0.16	1.63E-08
-0.15	-2.84E-11		-0.15	6.01E-10		-0.14999	4.70E-09		-0.15	1.66E-08
-0.14	-2.50E-11		-0.14	6.31E-10		-0.14001	4.84E-09		-0.14001	1.70E-08
-0.13	-2.25E-11		-0.13001	6.47E-10		-0.13001	5.00E-09		-0.13	1.74E-08
-0.12	-2.17E-11		-0.12	6.59E-10		-0.12	5.33E-09		-0.12	1.74E-08
-0.11	-1.89E-11		-0.11	6.92E-10		-0.11001	5.55E-09		-0.11	1.78E-08
-0.1	-1.65E-11		-0.1	7.24E-10		-0.1	5.72E-09		-0.1	1.82E-08
-0.08999	-1.50E-11		-0.08999	7.47E-10		-0.08999	5.96E-09		-0.08999	1.82E-08
-0.08	-1.33E-11		-0.08	7.67E-10		-0.08	6.12E-09		-0.08	1.84E-08
-0.06999	-1.18E-11		-0.06999	7.92E-10		-0.07	6.39E-09		-0.06999	1.89E-08
-0.05999	-1.01E-11		-0.06	8.13E-10		-0.05999	6.86E-09		-0.05999	1.94E-08
-0.04999	-8.71E-12		-0.05	8.41E-10		-0.05	6.83E-09		-0.04999	1.93E-08
-0.03998	-7.13E-12		-0.03999	8.86E-10		-0.03999	7.20E-09		-0.03999	1.94E-08
-0.02999	-5.31E-12		-0.02999	8.91E-10		-0.02999	7.30E-09		-0.02999	2.01E-08
-0.02	-3.42E-12		-0.01999	9.05E-10		-0.01999	7.61E-09		-0.01999	2.07E-08
-0.00998	-1.65E-12		-0.00998	9.35E-10		-0.00999	7.80E-09		-0.00998	2.06E-08
1.25E-05	7.63E-15		1.17E-05	9.57E-10		9.23E-06	7.79E-09		1.04E-05	2.09E-08
0.01001	1.72E-12		0.01	9.80E-10		0.01	8.15E-09		0.01	2.11E-08
0.02002	3.54E-12		0.02001	1.00E-09		0.02001	8.22E-09		0.02001	2.14E-08
0.03001	5.34E-12		0.03001	1.03E-09		0.03001	8.47E-09		0.03001	2.19E-08
0.04001	7.03E-12		0.04	1.07E-09		0.04	8.56E-09		0.04	2.18E-08
0.05001	8.99E-12		0.05001	1.09E-09		0.05001	8.79E-09		0.05001	2.23E-08
0.06001	1.12E-11		0.06	1.14E-09		0.06	9.07E-09		0.06001	2.27E-08
0.07001	1.23E-11		0.07001	1.14E-09		0.07	8.97E-09		0.07001	2.28E-08
0.08002	1.38E-11		0.08001	1.15E-09		0.08001	9.18E-09		0.08001	2.34E-08
0.09001	1.58E-11		0.09	1.16E-09		0.09	9.63E-09		0.09001	2.36E-08
0.10001	1.72E-11		0.10001	1.23E-09		0.10001	9.64E-09		0.10001	2.39E-08
0.11001	1.93E-11		0.11001	1.24E-09		0.11001	9.63E-09		0.11002	2.44E-08
0.12001	2.17E-11		0.12	1.29E-09		0.12	9.81E-09		0.12001	2.49E-08
0.13002	2.34E-11		0.13001	1.35E-09		0.13001	1.01E-08		0.13001	2.46E-08
0.14001	2.51E-11		0.14001	1.34E-09		0.14001	1.02E-08		0.14001	2.49E-08
0.15001	2.73E-11		0.15	1.36E-09		0.15	1.02E-08		0.15	2.56E-08
0.16001	3.03E-11		0.16001	1.38E-09		0.16	1.01E-08		0.16001	2.58E-08
0.17001	3.31E-11		0.17	1.39E-09		0.17	1.05E-08		0.17	2.63E-08
0.18001	3.41E-11		0.18	1.44E-09		0.18	1.06E-08		0.18001	2.68E-08
0.19001	3.59E-11		0.19	1.44E-09		0.19	1.07E-08		0.19001	2.69E-08
0.2	3.97E-11		0.2	1.45E-09		0.2	1.08E-08		0.2	2.73E-08
0.21001	4.17E-11		0.21	1.48E-09		0.21	1.09E-08		0.21	2.76E-08
0.22002	4.45E-11		0.22001	1.52E-09		0.22001	1.11E-08		0.22002	2.82E-08
0.23002	4.36E-11		0.23001	1.56E-09		0.23001	1.11E-08		0.23002	2.83E-08
0.24002	4.64E-11		0.24002	1.61E-09		0.24002	1.11E-08		0.24002	2.90E-08
0.25002	4.97E-11		0.25002	1.63E-09		0.25002	1.14E-08		0.25002	2.94E-08
0.26002	5.22E-11		0.26002	1.66E-09		0.26002	1.14E-08		0.26003	2.96E-08
0.27005	5.61E-11		0.27006	1.71E-09		0.27005	1.14E-08		0.27006	3.01E-08
0.28004	6.03E-11		0.28005	1.74E-09		0.28005	1.17E-08		0.28005	3.09E-08
0.29003	6.46E-11		0.29003	1.76E-09		0.29003	1.16E-08		0.29004	3.13E-08
0.30002	6.73E-11		0.30002	1.77E-09		0.30002	1.19E-08		0.30003	3.15E-08
0.31001	7.22E-11		0.31001	1.79E-09		0.31001	1.20E-08		0.31002	3.21E-08
0.32	7.77E-11		0.32	1.82E-09		0.32	1.20E-08		0.32	3.20E-08
0.32999	8.08E-11		0.32999	1.84E-09		0.32999	1.22E-08		0.32999	3.19E-08
0.34	8.30E-11		0.34	1.88E-09		0.34	1.22E-08		0.34001	3.31E-08
0.34999	8.24E-11		0.34999	1.91E-09		0.34999	1.25E-08		0.34999	3.24E-08
0.35998	8.87E-11		0.35998	1.89E-09		0.35998	1.25E-08		0.35998	3.38E-08
0.36996	9.08E-11		0.36997	1.91E-09		0.36997	1.29E-08		0.36997	3.40E-08
0.37995	9.42E-11		0.37995	1.96E-09		0.37996	1.27E-08		0.37996	3.43E-08
0.38994	1.02E-10		0.38994	2.03E-09		0.38994	1.29E-08		0.38994	3.54E-08
0.39996	1.05E-10		0.39997	2.05E-09		0.39997	1.29E-08		0.39997	3.59E-08
0.40997	1.10E-10		0.40997	2.12E-09		0.40997	1.30E-08		0.40997	3.60E-08
0.41997	1.15E-10		0.41997	2.13E-09		0.41997	1.33E-08		0.41998	3.68E-08
0.42997	1.15E-10		0.42998	2.16E-09		0.42998	1.33E-08		0.42998	3.66E-08
0.43998	1.22E-10		0.43998	2.13E-09		0.43998	1.33E-08		0.43999	3.78E-08
0.44998	1.25E-10		0.44998	2.19E-09		0.44998	1.35E-08		0.44999	3.74E-08
0.45999	1.31E-10		0.45999	2.24E-09		0.45999	1.40E-08		0.46	3.79E-08
0.47002	1.36E-10		0.47003	2.28E-09		0.47003	1.39E-08		0.47004	3.89E-08
0.48002	1.39E-10		0.48002	2.32E-09		0.48002	1.39E-08		0.48003	3.91E-08
0.49002	1.46E-10		0.49002	2.32E-09		0.49002	1.40E-08		0.49003	3.99E-08
0.50002	1.48E-10		0.50003	2.34E-09		0.50003	1.40E-08		0.50003	3.96E-08
0.51003	1.56E-10		0.51003	2.39E-09		0.51003	1.42E-08		0.51004	4.04E-08
0.52003	1.59E-10		0.52004	2.39E-09		0.52004	1.43E-08		0.52004	4.03E-08
0.53007	1.68E-10		0.53007	2.42E-09		0.53007	1.42E-08		0.53008	4.09E-08
0.54008	1.86E-10		0.54008	2.45E-09		0.54007	1.43E-08		0.54008	4.18E-08
0.55007	1.89E-10		0.55007	2.49E-09		0.55007	1.45E-08		0.55007	4.19E-08
0.56006	1.93E-10		0.56006	2.51E-09		0.56006	1.42E-08		0.56006	4.21E-08
0.57005	1.93E-10		0.57005	2.53E-09		0.57004	1.42E-08		0.57006	4.27E-08
0.58004	1.92E-10		0.58004	2.55E-09		0.58004	1.43E-08		0.58004	4.30E-08
0.59003	1.98E-10		0.59003	2.58E-09		0.59002	1.47E-08		0.59003	4.39E-08
0.60004	2.20E-10		0.60005	2.59E-09		0.60005	1.48E-08		0.60006	4.50E-08
0.61003	2.23E-10		0.61003	2.60E-09		0.61003	1.50E-08		0.61003	4.38E-08
0.62002	2.31E-10		0.62002	2.63E-09		0.62002	1.54E-08		0.62002	4.51E-08
0.63	2.31E-10		0.63001	2.69E-09		0.63	1.50E-08		0.63001	4.62E-08
0.63999	2.33E-10		0.63999	2.70E-09		0.63999	1.57E-08		0.64	4.61E-08
0.64998	2.38E-10		0.64998	2.74E-09		0.64998	1.55E-08		0.64999	4.65E-08
0.66001	2.51E-10		0.66001	2.77E-09		0.66001	1.55E-08		0.66001	4.73E-08
0.66999	2.59E-10		0.67	2.81E-09		0.67	1.56E-08		0.67	4.75E-08
0.67999	2.60E-10		0.67999	2.82E-09		0.67999	1.59E-08		0.68	4.75E-08
0.68999	2.70E-10		0.69	2.86E-09		0.68999	1.56E-08		0.69001	4.80E-08
0.69999	2.84E-10		0.7	2.87E-09		0.7	1.57E-08		0.7	4.81E-08
0.71	2.99E-10		0.71	2.90E-09		0.71	1.59E-08		0.71001	4.85E-08
0.72004	3.03E-10		0.72004	2.93E-09		0.72004	1.64E-08		0.72004	4.85E-08
0.73004	3.00E-10		0.73004	2.97E-09		0.73004	1.61E-08		0.73004	4.91E-08
0.74004	3.06E-10		0.74004	2.98E-09		0.74004	1.60E-08		0.74005	4.98E-08
0.75004	3.22E-10		0.75004	3.02E-09		0.75003	1.64E-08		0.75003	5.08E-08
0.76004	3.33E-10		0.76004	3.04E-09		0.76004	1.63E-08		0.76004	5.01E-08
0.77004	3.46E-10		0.77004	3.04E-09		0.77004	1.67E-08		0.77004	5.00E-08
0.78004	3.47E-10		0.78004	3.10E-09		0.78004	1.66E-08		0.78004	5.12E-08
0.79008	3.57E-10		0.79008	3.14E-09		0.79008	1.70E-08		0.79008	5.14E-08
0.80008	3.56E-10		0.80008	3.14E-09		0.80008	1.69E-08		0.80008	5.14E-08
0.81009	3.69E-10		0.81008	3.16E-09		0.81008	1.71E-08		0.81008	5.24E-08
