0	2.42E-03
0.046	-6.35E-04
0.092	8.14E-03
0.138	-7.28E-03
0.184	-7.88E-03
0.23	-3.70E-03
0.276	1.66E-03
0.323	5.00E-03
0.369	-8.48E-03
0.415	-7.50E-03
0.461	-6.79E-03
0.507	-1.57E-03
0.553	-4.37E-03
0.599	2.76E-03
0.645	3.27E-03
0.691	4.62E-03
0.737	9.98E-03
0.783	4.57E-03
0.83	2.22E-03
0.876	-8.05E-03
0.922	-7.31E-03
0.968	-9.95E-04
1.014	-7.59E-03
1.06	9.11E-03
1.106	-5.00E-03
1.152	-6.73E-03
1.198	-6.86E-03
1.244	-7.53E-03
1.29	-5.06E-03
1.336	-7.56E-03
1.383	4.98E-03
1.429	5.97E-03
1.475	-8.02E-03
1.521	5.16E-03
1.567	8.12E-03
1.613	-1.34E-03
1.659	1.77E-03
1.705	5.85E-03
1.751	8.26E-03
1.797	-8.72E-03
1.843	5.62E-03
1.89	3.84E-04
1.936	-3.46E-03
1.982	9.59E-03
2.028	7.94E-03
2.074	-8.47E-03
2.12	5.38E-03
2.166	5.68E-03
2.212	3.13E-03
2.258	-4.35E-03
2.304	-7.93E-05
2.35	1.01E-02
2.397	-7.84E-03
2.443	-0.203277707
2.489	-1.85E-01
2.535	-2.15E-01
2.581	-2.13E-01
2.627	-2.31E-01
2.673	-2.05E-01
2.719	-2.15E-01
2.765	-2.19E-01
2.811	-2.17E-01
2.857	-2.24E-01
2.904	-2.24E-01
2.95	-2.35E-01
2.996	-2.12E-01
3.042	-2.26E-01
3.088	-2.24E-01
3.134	-2.22E-01
3.18	-2.13E-01
3.226	-2.23E-01
3.272	-2.12E-01
3.318	-2.25E-01
3.364	-2.29E-01
3.411	-2.13E-01
3.457	-2.12E-01
3.503	-2.27E-01
3.549	-2.14E-01
3.595	-2.11E-01
3.641	-2.24E-01
3.687	-2.33E-01
3.733	-2.17E-01
3.779	-2.22E-01
3.825	-2.23E-01
3.871	-2.14E-01
3.918	-2.17E-01
3.964	-2.26E-01
4.01	-2.10E-01
4.056	-2.15E-01
4.102	-2.27E-01
4.148	-2.24E-01
4.194	-2.10E-01
