-0.77 	-5.3205E-08		-0.77 	-8.0957E-08		-0.77 	-7.9225E-08		-0.77 	-3.4048E-08		-0.77 	-3.2304E-08		-0.77 	-9.6970E-08		-0.77 	-1.0810E-07		-0.77 	-1.0317E-07
-0.76 	-5.4300E-08		-0.76 	-8.1681E-08		-0.76 	-7.4773E-08		-0.76 	-3.0603E-08		-0.76 	-2.9103E-08		-0.76 	-9.5507E-08		-0.76 	-1.0619E-07		-0.76 	-1.0094E-07
-0.75 	-5.3375E-08		-0.75 	-8.0835E-08		-0.75 	-7.4539E-08		-0.75 	-2.8299E-08		-0.75 	-2.8433E-08		-0.75 	-9.7491E-08		-0.75 	-1.0855E-07		-0.75 	-1.0027E-07
-0.74 	-5.3048E-08		-0.74 	-7.9007E-08		-0.74 	-7.3294E-08		-0.74 	-2.7686E-08		-0.74 	-2.5875E-08		-0.74 	-9.6600E-08		-0.74 	-1.0661E-07		-0.74 	-9.9932E-08
-0.73 	-5.3196E-08		-0.73 	-7.9117E-08		-0.73 	-7.0053E-08		-0.73 	-2.4059E-08		-0.73 	-2.4880E-08		-0.73 	-9.5812E-08		-0.73 	-1.0587E-07		-0.73 	-9.7556E-08
-0.72 	-5.2932E-08		-0.72 	-7.7404E-08		-0.72 	-6.8031E-08		-0.72 	-2.2999E-08		-0.72 	-2.3798E-08		-0.72 	-9.4417E-08		-0.72 	-1.0617E-07		-0.72 	-9.7832E-08
-0.71 	-4.9354E-08		-0.71 	-7.7316E-08		-0.71 	-6.5667E-08		-0.71 	-1.9819E-08		-0.71 	-2.1678E-08		-0.71 	-9.3352E-08		-0.71 	-1.0675E-07		-0.71 	-9.6972E-08
-0.70 	-4.9829E-08		-0.70 	-7.5223E-08		-0.70 	-6.2404E-08		-0.70 	-1.9024E-08		-0.70 	-2.2308E-08		-0.70 	-9.0937E-08		-0.70 	-1.0502E-07		-0.70 	-9.7286E-08
-0.69 	-4.9359E-08		-0.69 	-7.4121E-08		-0.69 	-6.1104E-08		-0.69 	-1.8308E-08		-0.69 	-2.0119E-08		-0.69 	-9.1095E-08		-0.69 	-1.0490E-07		-0.69 	-9.5794E-08
-0.68 	-4.9774E-08		-0.68 	-7.3703E-08		-0.68 	-6.1968E-08		-0.68 	-1.6569E-08		-0.68 	-1.8834E-08		-0.68 	-8.9103E-08		-0.68 	-1.0430E-07		-0.68 	-9.4821E-08
-0.67 	-4.8648E-08		-0.67 	-7.2575E-08		-0.67 	-5.7229E-08		-0.67 	-1.5354E-08		-0.67 	-1.7976E-08		-0.67 	-9.0957E-08		-0.67 	-1.0295E-07		-0.67 	-9.6195E-08
-0.66 	-4.7910E-08		-0.66 	-7.1907E-08		-0.66 	-5.4093E-08		-0.66 	-1.3450E-08		-0.66 	-1.6781E-08		-0.66 	-8.8956E-08		-0.66 	-1.0187E-07		-0.66 	-9.5239E-08
-0.65 	-4.8097E-08		-0.65 	-7.1357E-08		-0.65 	-5.3282E-08		-0.65 	-1.2314E-08		-0.65 	-1.4934E-08		-0.65 	-8.8997E-08		-0.65 	-9.9828E-08		-0.65 	-9.3559E-08
-0.64 	-4.8114E-08		-0.64 	-6.9537E-08		-0.64 	-5.0778E-08		-0.64 	-1.1278E-08		-0.64 	-1.4088E-08		-0.64 	-8.7694E-08		-0.64 	-1.0167E-07		-0.64 	-9.3069E-08
-0.63 	-4.7220E-08		-0.63 	-6.9524E-08		-0.63 	-4.9773E-08		-0.63 	-9.5177E-09		-0.63 	-1.2333E-08		-0.63 	-8.6842E-08		-0.63 	-9.9895E-08		-0.63 	-9.3126E-08
